,Gold,PPLT,SLV
0,100.085798,151.520004,30.790001
1,98.812494,154.339996,31.360001
2,99.522042,154.580002,31.27
3,105.655296,155.949997,31.67
4,108.347712,156.809998,32.639999
5,107.32712,156.559998,32.290001
6,107.142447,157.889999,32.41
7,107.492356,162.339996,32.209999
8,111.14704,165.660004,33.610001
9,116.969257,167.990005,33.599998
10,118.009294,163.699997,32.990002
11,117.396935,159.820007,33.709999
12,118.125928,161.179993,33.57
13,116.716545,159.910004,33.580002
14,120.390666,160.830002,33.48
15,117.367777,159.639999,32.93
16,114.869763,160.119995,32.68
17,115.977831,160.679993,32.869999
18,119.68111,162.330002,33.580002
19,119.554754,163.380005,33.48
20,123.326072,165.289993,33.650002
21,120.69198,165.070007,33.5
22,119.068759,166.160004,33.509998
23,121.868087,169.220001,33.93
24,121.216856,167.589996,33.450001
25,120.896097,166.539993,32.970001
26,118.631367,166.020004,32.830002
27,118.271728,164.5,32.950001
28,118.85492,165.199997,32.900002
29,117.824613,162.509995,32.450001
30,118.602201,161.149994,31.66
31,120.361507,161.759995,31.93
32,121.479297,163.779999,32.119999
33,116.551309,161.199997,31.73
34,117.173382,159.190002,31.1
35,119.185401,158.080002,31.389999
36,114.315729,154.490005,30.68
37,113.81029,153.020004,30.709999
38,116.04587,154.179993,31.120001
39,114.675368,152.080002,31.08
40,116.240265,154.449997,31.27
41,116.172226,154.330002,31.219999
42,113.392342,151.899994,29.950001
43,113.985249,151.809998,30.17
44,118.057889,152.759995,31.01
45,111.185921,151.509995,30.83
46,111.778835,152.059998,31.379999
47,109.193338,153.169998,31.540001
48,106.228774,153.889999,31.370001
49,105.149864,155.699997,31.4
50,98.11266,156.020004,31.639999
51,99.074928,154.330002,31.530001
52,98.919406,153.059998,31.209999
53,103.740482,155.25,32.049999
54,102.46717,154.690002,32.110001
55,101.679861,155.259995,32.290001
56,104.381992,159.630005,32.98
57,102.943451,158.679993,33.02
58,101.018907,158.490005,32.93
59,102.787929,157.839996,32.619999
60,103.604397,158.300003,33.130001
61,104.352833,157.440002,32.360001
62,102.476892,157.990005,32.52
63,101.436863,155.990005,31.9
64,99.871959,155.600006,31.82
65,99.395686,157.179993,31.93
66,99.463725,158.039993,32.029999
67,99.76504,159.520004,32.139999
68,98.559774,160.729996,31.91
69,100.241313,160.610001,32.369999
70,97.043465,158.699997,31.530001
71,96.858792,159.0,31.17
72,97.276748,158.020004,31.200001
73,96.887951,156.710007,30.65
74,95.87708,156.279999,30.110001
75,95.73128,152.399994,29.0
76,96.674112,151.339996,29.0
77,96.314473,150.860001,28.940001
78,95.507727,151.080002,29.01
79,94.992573,150.789993,29.24
80,93.622064,149.529999,29.1
81,96.431114,151.360001,29.370001
82,97.908543,153.699997,29.92
83,95.060612,153.639999,29.18
84,93.145791,153.5,29.24
85,91.464245,152.860001,29.18
86,90.560294,155.350006,29.379999
87,91.454523,157.259995,29.35
88,93.865061,159.860001,29.780001
89,92.513996,160.179993,29.48
90,91.299009,162.990005,30.040001
91,91.512848,165.479996,30.360001
92,90.900489,165.639999,30.450001
93,90.268702,166.360001,30.67
94,89.685502,163.639999,30.809999
95,94.603776,166.539993,31.120001
96,93.563747,165.830002,31.190001
97,93.417947,165.259995,30.65
98,92.115477,166.550003,30.209999
99,91.308731,163.380005,29.85
100,92.825033,164.820007,30.32
101,92.232118,165.470001,30.92
102,91.52257,164.899994,30.440001
103,92.970833,165.679993,30.780001
104,95.634083,166.619995,30.690001
105,93.9331,167.860001,30.76
106,94.234415,170.580002,30.809999
107,92.49456,168.880005,30.459999
108,91.571165,168.529999,30.43
109,89.082873,165.889999,30.0
110,88.315,168.679993,30.09
111,88.149764,169.039993,29.77
112,86.963935,167.960007,29.459999
113,83.484209,164.619995,28.83
114,83.396734,166.059998,28.450001
115,79.897564,161.619995,27.59
116,79.848969,158.399994,27.73
117,79.576813,157.929993,27.83
118,80.325242,157.440002,28.07
119,83.153736,159.169998,28.41
120,82.035947,157.100006,28.01
121,80.548803,155.509995,27.540001
122,79.139413,154.5,27.620001
123,78.322946,154.020004,27.6
124,79.197738,155.899994,27.75
